,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime
46,16,2024,3,Ferrari,2.0,5.0,76.304
47,18,2024,3,Aston Martin,6.0,9.0,76.78
48,20,2024,3,Haas F1 Team,10.0,14.0,77.427
49,22,2024,3,RB,7.0,8.0,76.788
50,23,2024,3,Williams,11.0,12.0,77.13
51,24,2024,3,Kick Sauber,15.0,19.0,78.188
52,27,2024,3,Haas F1 Team,9.0,16.0,77.976
53,31,2024,3,Alpine,16.0,15.0,77.617
54,44,2024,3,Mercedes,20.0,11.0,76.96
55,55,2024,3,Ferrari,1.0,2.0,76.185
56,63,2024,3,Mercedes,17.0,7.0,76.724
57,77,2024,3,Kick Sauber,14.0,13.0,77.34
58,81,2024,3,McLaren,4.0,6.0,76.572
59,1,2024,4,Red Bull Racing,1.0,1.0,88.197
60,2,2024,4,Williams,17.0,19.0,90.139
61,3,2024,4,RB,20.0,11.0,89.472
62,4,2024,4,McLaren,5.0,3.0,88.489
63,10,2024,4,Alpine,16.0,17.0,90.119
64,11,2024,4,Red Bull Racing,2.0,2.0,88.263
65,14,2024,4,Aston Martin,6.0,5.0,88.686
66,16,2024,4,Ferrari,4.0,8.0,88.786
67,18,2024,4,Aston Martin,12.0,16.0,90.024
68,20,2024,4,Haas F1 Team,13.0,18.0,90.131
69,22,2024,4,RB,10.0,10.0,89.413
70,23,2024,4,Williams,20.0,14.0,89.714
71,24,2024,4,Kick Sauber,20.0,20.0,90.143
72,27,2024,4,Haas F1 Team,11.0,12.0,89.494
73,31,2024,4,Alpine,15.0,15.0,89.811
74,44,2024,4,Mercedes,9.0,7.0,88.766
75,55,2024,4,Ferrari,3.0,4.0,88.682
76,63,2024,4,Mercedes,7.0,9.0,89.008
77,77,2024,4,Kick Sauber,14.0,13.0,89.593
78,81,2024,4,McLaren,8.0,6.0,88.76
79,1,2024,5,Red Bull Racing,1.0,1.0,93.66
80,2,2024,5,Williams,17.0,20.0,96.358
81,3,2024,5,RB,20.0,12.0,94.934
82,4,2024,5,McLaren,2.0,4.0,94.165
83,10,2024,5,Alpine,13.0,15.0,95.287
84,11,2024,5,Red Bull Racing,3.0,2.0,93.982
85,14,2024,5,Aston Martin,7.0,3.0,94.148
86,16,2024,5,Ferrari,4.0,6.0,94.289
87,18,2024,5,Aston Martin,15.0,11.0,94.838
88,20,2024,5,Haas F1 Team,16.0,17.0,95.516
89,22,2024,5,RB,20.0,19.0,95.746
90,23,2024,5,Williams,12.0,14.0,95.241
91,24,2024,5,Kick Sauber,14.0,16.0,95.505
92,27,2024,5,Haas F1 Team,10.0,9.0,94.604
93,31,2024,5,Alpine,11.0,13.0,95.223
94,44,2024,5,Mercedes,9.0,18.0,95.573
95,55,2024,5,Ferrari,5.0,7.0,94.297
96,63,2024,5,Mercedes,6.0,8.0,94.433
97,77,2024,5,Kick Sauber,20.0,10.0,94.665
98,81,2024,5,McLaren,8.0,5.0,94.273
99,1,2024,6,Red Bull Racing,2.0,1.0,87.241
100,2,2024,6,Williams,20.0,17.0,88.487
101,3,2024,6,RB,15.0,18.0,88.617
102,4,2024,6,McLaren,1.0,5.0,87.594
103,10,2024,6,Alpine,12.0,12.0,87.976
104,11,2024,6,Red Bull Racing,4.0,4.0,87.46
105,14,2024,6,Aston Martin,9.0,15.0,88.427
106,16,2024,6,Ferrari,3.0,2.0,87.382
107,18,2024,6,Aston Martin,17.0,11.0,88.177
108,20,2024,6,Haas F1 Team,19.0,19.0,88.619
109,22,2024,6,RB,7.0,10.0,88.167
110,23,2024,6,Williams,18.0,14.0,88.343
111,24,2024,6,Kick Sauber,14.0,20.0,88.824
112,27,2024,6,Haas F1 Team,11.0,9.0,88.146
113,31,2024,6,Alpine,10.0,13.0,88.209
114,44,2024,6,Mercedes,6.0,8.0,87.697
115,55,2024,6,Ferrari,5.0,3.0,87.455
116,63,2024,6,Mercedes,8.0,7.0,88.067
117,77,2024,6,Kick Sauber,16.0,16.0,88.463
118,81,2024,6,McLaren,13.0,6.0,87.675
119,1,2024,7,Red Bull Racing,1.0,1.0,74.746
120,2,2024,7,Williams,17.0,20.0,76.731
121,3,2024,7,RB,13.0,9.0,75.674
122,4,2024,7,McLaren,2.0,3.0,74.837
123,10,2024,7,Alpine,16.0,15.0,76.015
124,11,2024,7,Red Bull Racing,8.0,11.0,75.706
125,14,2024,7,Aston Martin,19.0,19.0,76.917
126,16,2024,7,Ferrari,3.0,4.0,74.97
127,18,2024,7,Aston Martin,9.0,13.0,75.992
128,20,2024,7,Haas F1 Team,12.0,18.0,76.854
129,22,2024,7,RB,10.0,7.0,75.358
130,23,2024,7,Williams,20.0,14.0,76.2
131,24,2024,7,Kick Sauber,15.0,17.0,76.834
132,27,2024,7,Haas F1 Team,11.0,10.0,75.569
133,31,2024,7,Alpine,14.0,12.0,75.906
134,44,2024,7,Mercedes,6.0,8.0,75.504
135,55,2024,7,Ferrari,5.0,5.0,75.233
136,63,2024,7,Mercedes,7.0,6.0,75.234
137,77,2024,7,Kick Sauber,18.0,16.0,76.626
138,81,2024,7,McLaren,4.0,2.0,74.82
139,1,2024,8,Red Bull Racing,6.0,6.0,70.567
140,2,2024,8,Williams,15.0,15.0,72.02
141,3,2024,8,RB,12.0,12.0,71.482
142,4,2024,8,McLaren,4.0,4.0,70.542
143,10,2024,8,Alpine,10.0,10.0,70.896
144,11,2024,8,Red Bull Racing,20.0,16.0,72.06
145,14,2024,8,Aston Martin,11.0,14.0,72.019
146,16,2024,8,Ferrari,1.0,1.0,70.27
147,18,2024,8,Aston Martin,14.0,13.0,71.563
148,20,2024,8,Haas F1 Team,20.0,15.0,71.725
149,22,2024,8,RB,8.0,8.0,70.858
150,23,2024,8,Williams,9.0,9.0,70.948
151,24,2024,8,Kick Sauber,16.0,18.0,73.028
152,27,2024,8,Haas F1 Team,20.0,14.0,71.44
153,31,2024,8,Alpine,20.0,11.0,71.285
154,44,2024,8,Mercedes,7.0,7.0,70.621
155,55,2024,8,Ferrari,3.0,3.0,70.518
156,63,2024,8,Mercedes,5.0,5.0,70.543
157,77,2024,8,Kick Sauber,13.0,17.0,72.512
158,81,2024,8,McLaren,2.0,2.0,70.424
159,1,2024,9,Red Bull Racing,1.0,2.0,72.0
160,2,2024,9,Williams,20.0,13.0,72.736
161,3,2024,9,RB,8.0,5.0,72.178
162,4,2024,9,McLaren,2.0,3.0,72.021
163,10,2024,9,Alpine,9.0,15.0,72.94
164,11,2024,9,Red Bull Racing,20.0,16.0,73.326
165,14,2024,9,Aston Martin,6.0,6.0,72.228
166,16,2024,9,Ferrari,20.0,11.0,72.691
167,18,2024,9,Aston Martin,7.0,9.0,72.659
168,20,2024,9,Haas F1 Team,12.0,14.0,72.916
169,22,2024,9,RB,14.0,8.0,72.303
170,23,2024,9,Williams,20.0,10.0,72.485
171,24,2024,9,Kick Sauber,15.0,20.0,74.292
172,27,2024,9,Haas F1 Team,11.0,19.0,73.978
173,31,2024,9,Alpine,10.0,18.0,73.435
174,44,2024,9,Mercedes,4.0,7.0,71.979
175,55,2024,9,Ferrari,20.0,12.0,72.728
176,63,2024,9,Mercedes,3.0,1.0,71.742
177,77,2024,9,Kick Sauber,13.0,17.0,73.366
178,81,2024,9,McLaren,5.0,4.0,72.103
179,1,2024,10,Red Bull Racing,1.0,2.0,71.403
180,2,2024,10,Williams,20.0,20.0,73.509
181,3,2024,10,RB,15.0,18.0,73.075
182,4,2024,10,McLaren,2.0,1.0,71.383
183,10,2024,10,Alpine,9.0,7.0,71.857
184,11,2024,10,Red Bull Racing,8.0,8.0,72.054
185,14,2024,10,Aston Martin,12.0,11.0,72.128
186,16,2024,10,Ferrari,5.0,5.0,71.731
187,18,2024,10,Aston Martin,14.0,14.0,72.372
188,20,2024,10,Haas F1 Team,17.0,16.0,72.937
189,22,2024,10,RB,19.0,17.0,72.985
190,23,2024,10,Williams,18.0,19.0,73.153
191,24,2024,10,Kick Sauber,13.0,15.0,72.738
192,27,2024,10,Haas F1 Team,11.0,13.0,72.31
193,31,2024,10,Alpine,10.0,9.0,72.109
194,44,2024,10,Mercedes,3.0,3.0,71.701
195,55,2024,10,Ferrari,6.0,6.0,71.736
196,63,2024,10,Mercedes,4.0,4.0,71.703
197,77,2024,10,Kick Sauber,16.0,12.0,72.227
198,81,2024,10,McLaren,7.0,10.0,72.011
199,1,2024,11,Red Bull Racing,5.0,1.0,64.314
200,2,2024,11,Williams,19.0,19.0,65.856
201,3,2024,11,RB,9.0,11.0,65.289
202,4,2024,11,McLaren,20.0,2.0,64.718
203,10,2024,11,Alpine,10.0,13.0,65.359
204,11,2024,11,Red Bull Racing,7.0,8.0,65.144
205,14,2024,11,Aston Martin,18.0,15.0,65.639
206,16,2024,11,Ferrari,11.0,6.0,65.044
207,18,2024,11,Aston Martin,13.0,17.0,65.819
208,20,2024,11,Haas F1 Team,8.0,12.0,65.347
209,22,2024,11,RB,14.0,14.0,65.412
210,23,2024,11,Williams,15.0,16.0,65.736
211,24,2024,11,Kick Sauber,17.0,20.0,66.061
212,27,2024,11,Haas F1 Team,6.0,9.0,65.262
213,31,2024,11,Alpine,12.0,10.0,65.274
214,44,2024,11,Mercedes,4.0,5.0,64.903
215,55,2024,11,Ferrari,3.0,4.0,64.851
216,63,2024,11,Mercedes,1.0,3.0,64.84
217,77,2024,11,Kick Sauber,16.0,18.0,65.847
218,81,2024,11,McLaren,2.0,7.0,65.048
219,1,2024,12,Red Bull Racing,2.0,4.0,86.203
220,2,2024,12,Williams,11.0,12.0,87.175
221,3,2024,12,RB,13.0,15.0,87.949
222,4,2024,12,McLaren,3.0,3.0,86.03
223,10,2024,12,Alpine,20.0,20.0,99.804
224,11,2024,12,Red Bull Racing,17.0,19.0,98.348
225,14,2024,12,Aston Martin,8.0,10.0,86.73
226,16,2024,12,Ferrari,14.0,11.0,87.097
227,18,2024,12,Aston Martin,7.0,8.0,86.585
228,20,2024,12,Haas F1 Team,12.0,17.0,92.905
229,22,2024,12,RB,10.0,13.0,87.269
230,23,2024,12,Williams,9.0,9.0,86.64
231,24,2024,12,Kick Sauber,18.0,14.0,87.867
232,27,2024,12,Haas F1 Team,6.0,6.0,86.338
233,31,2024,12,Alpine,16.0,18.0,94.557
234,44,2024,12,Mercedes,1.0,2.0,85.99
235,55,2024,12,Ferrari,5.0,7.0,86.509
236,63,2024,12,Mercedes,20.0,1.0,85.819
237,77,2024,12,Kick Sauber,15.0,16.0,92.431
238,81,2024,12,McLaren,4.0,5.0,86.237
239,1,2024,13,Red Bull Racing,5.0,3.0,75.273
240,2,2024,13,Williams,17.0,14.0,76.543
241,3,2024,13,RB,12.0,9.0,76.202
242,4,2024,13,McLaren,2.0,1.0,75.227
243,10,2024,13,Alpine,20.0,20.0,78.166
244,11,2024,13,Red Bull Racing,7.0,16.0,77.886
245,14,2024,13,Aston Martin,11.0,7.0,76.043
246,16,2024,13,Ferrari,4.0,6.0,75.891
247,18,2024,13,Aston Martin,10.0,8.0,76.075
248,20,2024,13,Haas F1 Team,15.0,15.0,76.548
249,22,2024,13,RB,9.0,10.0,76.121
250,23,2024,13,Williams,14.0,13.0,76.429
251,24,2024,13,Kick Sauber,19.0,18.0,78.037
252,27,2024,13,Haas F1 Team,13.0,11.0,76.317
253,31,2024,13,Alpine,18.0,19.0,78.049
254,44,2024,13,Mercedes,3.0,5.0,75.854
255,55,2024,13,Ferrari,6.0,4.0,75.696
256,63,2024,13,Mercedes,8.0,17.0,77.968
257,77,2024,13,Kick Sauber,16.0,12.0,76.384
258,81,2024,13,McLaren,1.0,2.0,75.249
259,1,2024,14,Red Bull Racing,4.0,1.0,113.159
260,2,2024,14,Williams,17.0,19.0,117.23
261,3,2024,14,RB,10.0,13.0,114.682
262,4,2024,14,McLaren,5.0,5.0,113.981
263,10,2024,14,Alpine,13.0,12.0,114.635
264,11,2024,14,Red Bull Racing,7.0,3.0,113.765
265,14,2024,14,Aston Martin,8.0,9.0,114.258
266,16,2024,14,Ferrari,3.0,2.0,113.754
267,18,2024,14,Aston Martin,11.0,15.0,115.716
268,20,2024,14,Haas F1 Team,14.0,17.0,116.5
269,22,2024,14,RB,16.0,18.0,116.593
270,23,2024,14,Williams,12.0,11.0,114.473
271,24,2024,14,Kick Sauber,20.0,20.0,117.775
272,27,2024,14,Haas F1 Team,18.0,16.0,116.308
273,31,2024,14,Alpine,9.0,10.0,114.46
274,44,2024,14,Mercedes,1.0,4.0,113.835
275,55,2024,14,Ferrari,6.0,8.0,114.112
276,63,2024,14,Mercedes,20.0,7.0,114.095
277,77,2024,14,Kick Sauber,15.0,14.0,114.764
278,81,2024,14,McLaren,2.0,6.0,114.027
279,1,2024,15,Red Bull Racing,2.0,2.0,70.029
280,2,2024,15,Williams,16.0,20.0,
281,3,2024,15,RB,12.0,15.0,71.943
282,4,2024,15,McLaren,1.0,1.0,69.673
283,10,2024,15,Alpine,9.0,9.0,70.815
284,11,2024,15,Red Bull Racing,6.0,5.0,70.416
285,14,2024,15,Aston Martin,10.0,7.0,70.633
286,16,2024,15,Ferrari,3.0,6.0,70.582
287,18,2024,15,Aston Martin,13.0,8.0,70.661
288,20,2024,15,Haas F1 Team,18.0,14.0,71.295
289,22,2024,15,RB,17.0,12.0,70.955
290,23,2024,15,Williams,14.0,10.0,70.653
291,24,2024,15,Kick Sauber,20.0,18.0,73.261
292,27,2024,15,Haas F1 Team,11.0,13.0,71.215
293,31,2024,15,Alpine,15.0,16.0,71.995
294,44,2024,15,Mercedes,8.0,11.0,70.948
295,55,2024,15,Ferrari,5.0,10.0,70.914
296,63,2024,15,Mercedes,7.0,4.0,70.244
297,77,2024,15,Kick Sauber,19.0,17.0,72.168
298,81,2024,15,McLaren,4.0,3.0,70.172
299,1,2024,16,Red Bull Racing,6.0,7.0,79.662
300,3,2024,16,RB,13.0,12.0,80.479
301,4,2024,16,McLaren,3.0,1.0,79.327
302,10,2024,16,Alpine,15.0,14.0,80.738
303,11,2024,16,Red Bull Racing,8.0,8.0,80.062
304,14,2024,16,Aston Martin,11.0,11.0,80.421
305,16,2024,16,Ferrari,1.0,4.0,79.461
306,18,2024,16,Aston Martin,19.0,17.0,81.013
307,20,2024,16,Haas F1 Team,10.0,13.0,80.698
308,22,2024,16,RB,20.0,16.0,80.945
309,23,2024,16,Williams,9.0,9.0,80.299
310,24,2024,16,Kick Sauber,18.0,20.0,81.445
311,27,2024,16,Haas F1 Team,17.0,10.0,80.339
312,31,2024,16,Alpine,14.0,15.0,80.764
313,43,2024,16,Williams,12.0,18.0,81.061
314,44,2024,16,Mercedes,5.0,6.0,79.513
315,55,2024,16,Ferrari,4.0,5.0,79.467
316,63,2024,16,Mercedes,7.0,3.0,79.44
317,77,2024,16,Kick Sauber,16.0,19.0,81.101
318,81,2024,16,McLaren,2.0,2.0,79.436
319,1,2024,17,Red Bull Racing,5.0,6.0,102.023
320,3,2024,17,RB,13.0,15.0,103.547
321,4,2024,17,McLaren,4.0,16.0,103.609
322,10,2024,17,Alpine,12.0,15.0,103.088
323,11,2024,17,Red Bull Racing,17.0,4.0,101.813
324,14,2024,17,Aston Martin,6.0,8.0,102.369
325,16,2024,17,Ferrari,2.0,1.0,101.365
326,18,2024,17,Aston Martin,19.0,14.0,103.37
327,22,2024,17,RB,20.0,12.0,103.035
328,23,2024,17,Williams,7.0,10.0,102.84
329,24,2024,17,Kick Sauber,14.0,18.0,104.246
330,27,2024,17,Haas F1 Team,11.0,13.0,103.101
331,31,2024,17,Alpine,15.0,19.0,104.504
332,43,2024,17,Williams,8.0,9.0,102.473
333,44,2024,17,Mercedes,9.0,7.0,102.289
334,50,2024,17,Haas F1 Team,10.0,11.0,102.968
335,55,2024,17,Ferrari,18.0,3.0,101.805
336,63,2024,17,Mercedes,3.0,5.0,101.874
337,77,2024,17,Kick Sauber,16.0,17.0,103.618
338,81,2024,17,McLaren,1.0,2.0,101.686
339,1,2024,18,Red Bull Racing,2.0,2.0,89.68
340,3,2024,18,RB,18.0,16.0,91.085
341,4,2024,18,McLaren,1.0,1.0,89.525
342,10,2024,18,Alpine,17.0,18.0,91.312
343,11,2024,18,Red Bull Racing,10.0,13.0,90.579
344,14,2024,18,Aston Martin,8.0,7.0,90.214
345,16,2024,18,Ferrari,5.0,9.0,89.747
346,18,2024,18,Aston Martin,14.0,17.0,91.094
347,20,2024,18,Haas F1 Team,19.0,14.0,90.653
348,22,2024,18,RB,12.0,8.0,90.289
349,23,2024,18,Williams,20.0,11.0,90.474
350,24,2024,18,Kick Sauber,15.0,20.0,92.054
351,27,2024,18,Haas F1 Team,9.0,6.0,90.115
352,31,2024,18,Alpine,13.0,15.0,90.769
353,43,2024,18,Williams,11.0,12.0,90.481
354,44,2024,18,Mercedes,6.0,3.0,89.841
355,55,2024,18,Ferrari,7.0,10.0,90.108
356,63,2024,18,Mercedes,4.0,4.0,89.867
357,77,2024,18,Kick Sauber,16.0,19.0,91.572
358,81,2024,18,McLaren,3.0,5.0,89.64
359,1,2024,19,Red Bull Racing,3.0,2.0,92.361
360,4,2024,19,McLaren,4.0,1.0,92.33
361,10,2024,19,Alpine,12.0,7.0,93.018
362,11,2024,19,Red Bull Racing,7.0,10.0,93.02
363,14,2024,19,Aston Martin,13.0,8.0,93.309
364,16,2024,19,Ferrari,1.0,4.0,92.74
365,18,2024,19,Aston Martin,15.0,14.0,93.759
366,20,2024,19,Haas F1 Team,11.0,9.0,93.474
367,22,2024,19,RB,14.0,11.0,93.506
368,23,2024,19,Williams,16.0,16.0,94.051
369,24,2024,19,Kick Sauber,19.0,20.0,94.228
370,27,2024,19,Haas F1 Team,8.0,12.0,93.544
371,30,2024,19,RB,9.0,15.0,93.339
372,31,2024,19,Alpine,18.0,13.0,93.597
373,43,2024,19,Williams,10.0,17.0,94.062
374,44,2024,19,Mercedes,20.0,19.0,94.154
375,55,2024,19,Ferrari,2.0,3.0,92.652
376,63,2024,19,Mercedes,6.0,6.0,92.974
377,77,2024,19,Kick Sauber,17.0,18.0,94.152
378,81,2024,19,McLaren,5.0,5.0,92.95
379,1,2024,20,Red Bull Racing,6.0,2.0,76.171
380,4,2024,20,McLaren,2.0,3.0,76.26
381,10,2024,20,Alpine,10.0,8.0,76.892
382,11,2024,20,Red Bull Racing,17.0,18.0,77.611
383,14,2024,20,Aston Martin,20.0,13.0,77.168
384,16,2024,20,Ferrari,3.0,4.0,76.265
385,18,2024,20,Aston Martin,11.0,14.0,77.294
386,20,2024,20,Haas F1 Team,7.0,7.0,76.886
387,22,2024,20,RB,20.0,11.0,77.129
388,23,2024,20,Williams,20.0,9.0,76.988
389,24,2024,20,Kick Sauber,15.0,20.0,78.072
390,27,2024,20,Haas F1 Team,9.0,10.0,76.995
391,30,2024,20,RB,16.0,12.0,77.162
392,31,2024,20,Alpine,13.0,19.0,77.617
393,43,2024,20,Williams,12.0,16.0,77.558
394,44,2024,20,Mercedes,4.0,6.0,76.651
395,55,2024,20,Ferrari,1.0,1.0,75.946
396,63,2024,20,Mercedes,5.0,5.0,76.356
397,77,2024,20,Kick Sauber,14.0,15.0,77.393
398,81,2024,20,McLaren,8.0,17.0,77.597
399,1,2024,21,Red Bull Racing,1.0,12.0,87.771
400,4,2024,21,McLaren,6.0,1.0,83.405
401,10,2024,21,Alpine,3.0,15.0,89.42
402,11,2024,21,Red Bull Racing,11.0,13.0,88.158
403,14,2024,21,Aston Martin,14.0,9.0,85.035
404,16,2024,21,Ferrari,5.0,6.0,84.525
405,18,2024,21,Aston Martin,20.0,10.0,86.334
406,22,2024,21,RB,7.0,3.0,84.111
407,23,2024,21,Williams,20.0,7.0,84.657
408,24,2024,21,Kick Sauber,15.0,20.0,92.263
409,27,2024,21,Haas F1 Team,20.0,19.0,91.623
410,30,2024,21,RB,9.0,5.0,84.484
411,31,2024,21,Alpine,2.0,4.0,84.475
412,43,2024,21,Williams,20.0,18.0,91.27
413,44,2024,21,Mercedes,10.0,16.0,91.15
414,50,2024,21,Haas F1 Team,12.0,17.0,91.229
415,55,2024,21,Ferrari,20.0,14.0,89.406
416,63,2024,21,Mercedes,4.0,2.0,83.578
417,77,2024,21,Kick Sauber,13.0,11.0,86.472
418,81,2024,21,McLaren,8.0,8.0,84.686
419,1,2024,22,Red Bull Racing,5.0,5.0,92.797
420,4,2024,22,McLaren,6.0,6.0,93.008
421,10,2024,22,Alpine,20.0,3.0,92.664
422,11,2024,22,Red Bull Racing,10.0,16.0,94.155
423,14,2024,22,Aston Martin,11.0,17.0,94.258
424,16,2024,22,Ferrari,4.0,4.0,92.783
425,18,2024,22,Aston Martin,15.0,20.0,94.484
426,20,2024,22,Haas F1 Team,12.0,12.0,93.297
427,22,2024,22,RB,9.0,7.0,93.029
428,23,2024,22,Williams,20.0,18.0,94.425
429,24,2024,22,Kick Sauber,13.0,13.0,93.566
430,27,2024,22,Haas F1 Team,8.0,9.0,93.062
431,30,2024,22,RB,16.0,15.0,94.087
432,31,2024,22,Alpine,17.0,11.0,93.221
433,43,2024,22,Williams,14.0,14.0,93.746
434,44,2024,22,Mercedes,2.0,10.0,92.567
435,55,2024,22,Ferrari,3.0,2.0,92.41
436,63,2024,22,Mercedes,1.0,1.0,92.312
437,77,2024,22,Kick Sauber,18.0,19.0,94.43
438,81,2024,22,McLaren,7.0,8.0,93.024
439,1,2024,23,Red Bull Racing,1.0,1.0,80.52
440,4,2024,23,McLaren,10.0,3.0,80.772
441,10,2024,23,Alpine,5.0,11.0,81.437
442,11,2024,23,Red Bull Racing,20.0,9.0,81.425
443,14,2024,23,Aston Martin,7.0,8.0,81.208
444,16,2024,23,Ferrari,2.0,5.0,80.852
445,18,2024,23,Aston Martin,20.0,15.0,81.911
446,20,2024,23,Haas F1 Team,9.0,10.0,81.387
447,22,2024,23,RB,13.0,14.0,81.771
448,23,2024,23,Williams,15.0,16.0,82.39
449,24,2024,23,Kick Sauber,8.0,12.0,81.501
450,27,2024,23,Haas F1 Team,20.0,18.0,82.442
451,30,2024,23,RB,14.0,17.0,82.411
452,31,2024,23,Alpine,20.0,20.0,82.714
453,43,2024,23,Williams,20.0,19.0,82.594
454,44,2024,23,Mercedes,12.0,6.0,81.011
455,55,2024,23,Ferrari,6.0,7.0,81.041
456,63,2024,23,Mercedes,4.0,2.0,80.575
457,77,2024,23,Kick Sauber,11.0,13.0,81.731
458,81,2024,23,McLaren,3.0,4.0,80.829
459,1,2024,24,Red Bull Racing,6.0,5.0,82.945
460,4,2024,24,McLaren,1.0,1.0,82.595
461,10,2024,24,Alpine,7.0,6.0,82.984
462,11,2024,24,Red Bull Racing,20.0,10.0,83.264
463,14,2024,24,Aston Martin,9.0,8.0,83.196
464,16,2024,24,Ferrari,3.0,14.0,83.302
465,18,2024,24,Aston Martin,14.0,13.0,83.729
466,20,2024,24,Haas F1 Team,16.0,15.0,83.632
467,22,2024,24,RB,12.0,11.0,83.419
468,23,2024,24,Williams,11.0,16.0,83.821
469,24,2024,24,Kick Sauber,13.0,17.0,83.88
470,27,2024,24,Haas F1 Team,8.0,4.0,82.886
471,30,2024,24,RB,17.0,12.0,83.472
472,43,2024,24,Williams,20.0,19.0,83.912
473,44,2024,24,Mercedes,4.0,18.0,83.887
474,55,2024,24,Ferrari,2.0,3.0,82.824
475,61,2024,24,Alpine,15.0,20.0,84.105
476,63,2024,24,Mercedes,5.0,7.0,83.132
477,77,2024,24,Kick Sauber,20.0,9.0,83.204
478,81,2024,24,McLaren,10.0,2.0,82.804
479,1,2025,1,Red Bull Racing,2.0,3.0,75.481
480,4,2025,1,McLaren,1.0,1.0,75.096
481,5,2025,1,Kick Sauber,20.0,15.0,76.516
482,6,2025,1,Racing Bulls,20.0,11.0,76.175
483,7,2025,1,Alpine,20.0,14.0,76.315
484,10,2025,1,Alpine,11.0,9.0,75.98
485,12,2025,1,Mercedes,4.0,16.0,76.525
486,14,2025,1,Aston Martin,20.0,12.0,76.288
487,16,2025,1,Ferrari,8.0,7.0,75.755
488,18,2025,1,Aston Martin,6.0,13.0,76.369
489,22,2025,1,Racing Bulls,12.0,5.0,75.67
490,23,2025,1,Williams,5.0,6.0,75.737
491,27,2025,1,Kick Sauber,7.0,17.0,76.579
492,30,2025,1,Red Bull Racing,20.0,18.0,77.094
493,31,2025,1,Haas F1 Team,13.0,19.0,77.147
494,44,2025,1,Ferrari,10.0,8.0,75.919
495,55,2025,1,Williams,20.0,10.0,75.931
496,63,2025,1,Mercedes,3.0,4.0,75.546
497,81,2025,1,McLaren,9.0,2.0,75.18
498,87,2025,1,Haas F1 Team,14.0,20.0,
499,1,2025,2,Red Bull Racing,4.0,4.0,90.817
500,4,2025,2,McLaren,2.0,3.0,90.787
501,5,2025,2,Kick Sauber,14.0,19.0,92.141
502,6,2025,2,Racing Bulls,11.0,7.0,91.079
503,7,2025,2,Alpine,13.0,18.0,92.092
504,10,2025,2,Alpine,20.0,16.0,91.992
505,12,2025,2,Mercedes,6.0,8.0,91.103
506,14,2025,2,Aston Martin,20.0,13.0,91.688
507,16,2025,2,Ferrari,20.0,6.0,91.021
508,18,2025,2,Aston Martin,9.0,14.0,91.773
509,22,2025,2,Racing Bulls,16.0,9.0,91.238
510,23,2025,2,Williams,7.0,10.0,91.503
